item_status,description,cert_number,issuer,grade,vault_status
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: 2022 Panini Prizm #95 Jared Goff,VIH00000043189,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND HOME | x1 Raw 2019-20 Panini Prizm Tony Parker No.PM-TPK,VIH00000042147,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042915,VIH,-,Unvaulted
Active,Encased 2025 National Treasures #RSC-JAH Jalen Hurts | Black Box 1/1 NFL Gear RC,VIH00000044281,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: 2024 Panini The National VIP #42 Mickey Mantle,VIH00000043125,VIH,-,Unvaulted
Active,#GT-CM Christian McCaffrey - Carolina Panthers | 2017 Panini - Plates & Patches,VIH00000043062,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x raw basketball card- 2025 Topps VJ EDGECOMBE #NS-3 Rookie card 06/99,VIH00000043106,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND BACK | Raw card: 2025 Panini The National Joe Montana #28 patch numbered 01/10,VIH00000042094,VIH,-,Unvaulted
Active,Ineligible Item - Please Ship Home | Raw Encased Card ('22 Panini Immaculate Collection Football - B. Hall #113 - Patch Card 09/25 - Unofficial Seal; Line #9206),VIH00000042637,VIH,-,Unvaulted
Active,"INELIGIBLE ITEMS- PLEASE SHIP HOME! | 1x raw pack of proset football proof cards, 1x raw card of JAYDEN DANIELS #PSA-JD1 & 1x new empty cased slab 35 Point item#MH35S",VIH00000043152,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND HOME | x1 2018-19 Panini Flawless Shai Gilgeous-Alexander #RA-SGA 9/15,VIH00000044920,VIH,-,Unvaulted
Active,Ineligible Item Please Send Home | Raw 2024 Topps Chrome Victor Wembanyama  #CG-VW,VIH00000044954,VIH,-,Unvaulted
Active,2024-25 Panini Prizm Monopoly Zion Williamson | Ineligible item,VIH00000042672,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND HOME | x1 RAW 2024-25 Panini One and One Jared McCain Rookie Jersey Autographs,VIH00000042434,VIH,-,Unvaulted
Active,INELIGIBLE ITEMS- PLEASE SHIP HOME! | 2x raw AARON JUDGE baseball cards-2025 VIP Panini The National  72/75 & 07/75,VIH00000042231,VIH,-,Unvaulted
Active,Ineligible Item - Please send home | Raw Panini VIP Caitlin Clark,VIH00000043008,VIH,-,Unvaulted
Active,"INELLIGIBLE ITEMS - PLEASE SHIP HOME | 5x Panini Basketball cards ( Nick Smith Jr, Yuki Kawamura, Moeitz Wagner, Kyshawn George, VJ Edgecombe)",VIH00000043196,VIH,-,Unvaulted
Active,"INELLIGIBLE ITEM - PLEASE SHIP HOME | 2024/25 Topps UEFA Club Competition  No. RR-KW Kjell Watjen - Borussia Dortmund, 2025 Topps No. RRS-LM Ladd McConkey - Los Angeles",VIH00000043202,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND HOME | x1 Raw Panini Immaculate Collection No.ILE-KAJ Kareem Abdul-Jabbar Autographed 33/49,VIH00000042594,VIH,-,Unvaulted
Active,INELIGIBLE ITEMS- PLEASE SHIP HOME! | 1x raw baseball card- 2025 CHARLIE CONDON with Autograph,VIH00000043048,VIH,-,Unvaulted
Active,INELLIGIBLE ITEM - PLEASE SHIP HOME | 2024-25 Panini Sect FIFA Soccer No. 7 Lamine Yamal,VIH00000042759,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND BACK | Raw card: 2025 Topps Cooper Flagg #80BK-51,VIH00000042093,VIH,-,Unvaulted
Active,INELIGIBLE ITEMS - 1X RAW CARD PLEASE SEND HOME! | 1x Raw 2024-25 Kon Knueppl,VIH00000042450,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: 2025 Topps Bowman U Chrome Prospect #12 Braden Smith Autograph Card,VIH00000043130,VIH,-,Unvaulted
Active,Ineligible Item Please Send Home | 1x 2024 Panini Black Football Terrel Owens #17/25,VIH00000042224,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 9x Raw Cards: 2023 Panini - The National Nikola Jokic 1/1; 8x Assorted 2021 Panini The National VIP Cards,VIH00000043668,VIH,-,Unvaulted
Active,"INELIGIBLE ITEMS - PLEASE SHIP HOME | 4x Raw Cards: 2025 Topps Austin Reaves, 2024 Donruss Caitlin Clark (x2), 2021 Panini Tyrese Haliburton",VIH00000043614,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: 2024 Panini Prizm Draft Picks Rated Prospect #17 VJ Edgecombe,VIH00000042529,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x raw basketball Transparent color card- LEAF Metal STEPHEN CURRY 1/1 Pre-Production Proof with food pictures in the background,VIH00000043102,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x raw football card- 2014 Topps JOHNNY MANZIEL #TTRAR-4 Triple Threads Rookie Autograph Relic Card,VIH00000042278,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: 2022 Panini Prizm #95 Jared Goff,VIH00000043189,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND HOME | x1 Raw 2019-20 Panini Prizm Tony Parker No.PM-TPK,VIH00000042147,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042915,VIH,-,Unvaulted
Active,Encased 2025 National Treasures #RSC-JAH Jalen Hurts | Black Box 1/1 NFL Gear RC,VIH00000044281,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: 2024 Panini The National VIP #42 Mickey Mantle,VIH00000043125,VIH,-,Unvaulted
Active,#GT-CM Christian McCaffrey - Carolina Panthers | 2017 Panini - Plates & Patches,VIH00000043062,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x raw basketball card- 2025 Topps VJ EDGECOMBE #NS-3 Rookie card 06/99,VIH00000043106,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND BACK | Raw card: 2025 Panini The National Joe Montana #28 patch numbered 01/10,VIH00000042094,VIH,-,Unvaulted
Active,Ineligible Item - Please Ship Home | Raw Encased Card ('22 Panini Immaculate Collection Football - B. Hall #113 - Patch Card 09/25 - Unofficial Seal; Line #9206),VIH00000042637,VIH,-,Unvaulted
Active,"INELIGIBLE ITEMS- PLEASE SHIP HOME! | 1x raw pack of proset football proof cards, 1x raw card of JAYDEN DANIELS #PSA-JD1 & 1x new empty cased slab 35 Point item#MH35S",VIH00000043152,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND HOME | x1 2018-19 Panini Flawless Shai Gilgeous-Alexander #RA-SGA 9/15,VIH00000044920,VIH,-,Unvaulted
Active,Ineligible Item Please Send Home | Raw 2024 Topps Chrome Victor Wembanyama  #CG-VW,VIH00000044954,VIH,-,Unvaulted
Active,2024-25 Panini Prizm Monopoly Zion Williamson | Ineligible item,VIH00000042672,VIH,-,Unvaulted
Active,"Ineligible Item, PLEASE SEND HOME | Raw Bobby Witt Jr. Game Used Bat Auto",VIH00000044566,VIH,-,Unvaulted
Active,Ineligible Item - Please Send Home | 1x Raw Card 2020-21 Panini One and One #RJA-LMB LaMelo Ball,VIH00000042946,VIH,-,Unvaulted
Active,"2024-25 Panini - One and One Basketball Cody Williams #LM-CDY | Encased Ungraded Panini ""One"" Sealed",VIH00000043134,VIH,-,Unvaulted
Active,2024 Panini Rated Prospect VJ Edgecombe /75 | Ineligible item,VIH00000042664,VIH,-,Unvaulted
Active,2025 Topps Contemporary Marks Ace Bailey Auto  | Ineligible item,VIH00000042663,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND HOME | x1 Raw 2024 Panini Prizm Anthony Gould No. S-AGD 1/10,VIH00000042590,VIH,-,Unvaulted
Active,2021-22 Panini Noir LeBron James /5 | Ineligible item,VIH00000042720,VIH,-,Unvaulted
Active,"INELIGIBLE ITEMS - PLEASE SHIP HOME | 4x Baseball cards (Curtis Granderson, Jackie Robinson, Rhys Hoskins, Aaron Nola), 2x Clear cases",VIH00000042289,VIH,-,Unvaulted
Active,"INELIGIBLE ITEMS - PLEASE SEND HOME | x2 Raw Cards: 2024-25 Panini One and One Once Upon a Time Signatures Jason Kidd No.OUT-KID, 2024-25 Panini Prizm Jalen Duren No.PDS-DUR",VIH00000042146,VIH,-,Unvaulted
Active,Encased 2024-25 Panini Flawless #ANB-LUD Luka Doncic | All-NBA Ink Autographs Gold 4/10,VIH00000043036,VIH,-,Unvaulted
Active,Encased 2017-18 Panini Noir #303 Jayson Tatum | Rookie Patch Autographs 5/99,VIH00000044282,VIH,-,Unvaulted
Active,2024-25 Panini Flawless Basketball #133 Damian Lillard | All-Stars Encased,VIH00000043349,VIH,-,Unvaulted
Active,Sealed encased 2021-22 Panini Immaculate Collection Luka Doncic #PA-LKD | Auto patch numbered 10/10,VIH00000045648,VIH,-,Unvaulted
Active,2021-22 Panini Chronicles Hometown Heroes | #HHR-CCU Cade Cunningham Autograph,VIH00000043625,VIH,-,Unvaulted
Active,Encased 2024-25 Panini Flawless #116 Dwayne Wade | Legends Platinum 1/1,VIH00000044290,VIH,-,Unvaulted
Active,Sealed encased 2024-25 Panini Mosaic Dalton Knecht #CAM-KNE | Auto numbered 15/35,VIH00000043597,VIH,-,Unvaulted
Active,2021-22 Panini National Treasures Basketball #CF-SCU Stephen Curry | Clutch Factor Patch Autograph 09/25 Encased,VIH00000043880,VIH,-,Unvaulted
Active,Encased 2024-25 Panini Flawless #138 LeBron James | All-Stars Sliver 4/10,VIH00000044289,VIH,-,Unvaulted
Active,2019 TOPPS CHROME #1 SHOHEI OHTANI,85496566,PSA,9,To Vault
Active,2007 SP ROOKIE EDITION SP LIMITED JERSEY #SP-KD KEVIN DURANT,59251230,PSA,9,Vaulted
Active,2018-19 Panini Encased #170 Luka Doncic Red - Notable Signatures - Autographed,0011435819,BGS,9.5,Unvaulted
Active,2023 BOWMAN UNIVERSITY CHROME #1 CALEB WILLIAMS AUTOGRAPH-YELLOW REFRACTOR 69/75,85613697,PSA,9,Unvaulted
Active,2020 PANINI ONE AND ONE ROOKIE DUAL JERSEY AUTOGRAPHS #AED ANTHONY EDWARDS 90/99,101000000,PSA,9,Unvaulted
Active,2019 PANINI OBSIDIAN MATRIX AUTOGRAPHS #MAGAN GIANNIS ANTETOKOUNMPO ELECTRIC ETCH YELLOW 3/10,86431191,PSA,9,Unvaulted
Active,2023 TOPPS CHROME TOPPS CHROME AUTOGRAPHS #CGMB MIKAL BRIDGES GOLD REFRACTOR 40/50,97577827,PSA,10,Unvaulted
Active,2019-20 Panini One & One #11 Stephen Curry First-Team Signatures /25,0013094942,BGS,9,Unvaulted
Active,2022 Bowman's Best Best of '22 Autographs #B22BW Bobby Witt Jr. Gold Refractor,0016411170,BGS,9.5,Unvaulted
Active,1996 METAL #181 KOBE BRYANT,87815891,PSA,10,Vaulted
Active,2002 FINEST #178 LeBRON JAMES,97420936,PSA,9,Vaulted
Active,2013 UD All-Time Greats #ATF2AJ James/Allen All-Time Forces Dual,0011519384,BGS,9,Vaulted
Active,2003 Topps #221 LeBron James,0014180543,BGS,9.5,Vaulted
Active,2020 PANINI DONRUSS OPTIC #151 ANTHONY EDWARDS HYPER PINK 1E+08 PSA 10 - 2020 PANINI DONRUSS OPTIC 151 ANTHONY EDWARDS HYPER PINK - - 151.45 - - - - - Vaulted 2/18/2026 26 Fixed Price 2/19/2026 599 - ,,,-,Vaulted
Active,2018 PANINI DONRUSS OPTIC #162 SHAI GILGEOUS-ALEXANDER HYPER PINK,92910035,PSA,10,Vaulted
Active,2013 UD All-Time Greats Base Autographs #73 Michael Jordan,0011796048,BGS,9,Vaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x 2024-25 Panini Immaculate Collection No.IAS-LUK Luka Doncic 01/10 Autographed Raw Card,VIH00000046384,VIH,-,Unvaulted
Active,"Ineligible Item, PLEASE SEND HOME | Raw Tyrese Maxey card",VIH00000047144,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - SEND HOME | Raw Card: 2025 Topps Tyrese Maxey #185,VIH00000046732,VIH,-,Unvaulted
Active,2003-04 Topps Chrome #115 Dwyane Wade Refractors,0010228067,BGS,9.5,Vaulted
Active,Ineligible Item - Please Send Home | 1x Raw Sports Card,VIH00000046318,VIH,-,Unvaulted
Active,"1x 2025 Topps Yoshinobu Yamamoto, #GG-YY Autographed, encased card | Ineligible",VIH00000046783,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 5x Raw Cards: Assorted Raw 2024-25 Basketball Cards,VIH00000047310,VIH,-,Unvaulted
Active,"Ineligible Items, PLEASE SEND HOME | Raw Michael Jordan cards",VIH00000047322,VIH,-,Unvaulted
Active,1996 TOPPS NBA STARS #24 MICHAEL JORDAN,21545715,PSA,10,Returning
Active,2025 TOPPS CHROME #251 COOPER FLAGG,144000000,PSA,10,Returning
Active,2001 TOPPS PRISTINE #6 MICHAEL JORDAN REFRACTOR 21/50,108000000,PSA,10,Returning
Active,1996 TOPPS NBA STARS #124 MICHAEL JORDAN FINEST-REFRACTOR,28328369,PSA,10,Returning
Active,2025 BOWMAN CHROME PROSPECTS #BCP50 JESUS MADE PURPLE GEOMETRIC 52/250,133000000,PSA,10,Vaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 2025 Topps Chrome Major League Minis #MM-10 Roki Sasaki RC,VIH00000046337,VIH,-,Unvaulted
Active,Ineligible Item - Please Send Home | 1x Raw Sports Card,VIH00000046317,VIH,-,Unvaulted
Active,2018 PANINI DONRUSS OPTIC #162 SHAI GILGEOUS-ALEXANDER LIME GREEN,52585059,PSA,10,Vaulted
Active,2024 PANINI REVOLUTION KABOOM! HORIZONTAL #21 JARED McCAIN,146000000,PSA,8,Vaulted
Active,Cade Cunningham  | Eminence,VIH00000047165,VIH,-,Unvaulted
Active,2003-04 Topps Chrome #111 LeBron James,0003299173,BGS,9.5,Vaulted
Active,2021 Bowman Chrome Draft Autograph #CDA-MM Marcelo Mayer Gold Refractor,7642958,SGC,10,Vaulted
Active,2023 PANINI ABSOLUTE KABOOM! HORIZONTAL #7 JUSTIN JEFFERSON,107000000,PSA,10,Vaulted
Active,1997-98 Bowman's Best Techniques #T2 Michael Jordan Refractor,0012832702,BGS,9.5,Vaulted
Active,2008 Exquisite Collection Limited Logos #LL-KD Kevin Durant,0007982361,BGS,9,Vaulted
Active,2024 PANINI PRIZM #234 STEPHON CASTLE RED ICE,125000000,PSA,10,To Vault
Active,1996 BOWMAN'S BEST #80 MICHAEL JORDAN REFRACTOR,84384867,PSA,9,Vaulted
Active,2018-19 Contenders Draft Picks #126 Luka Doncic Autograph,0010861442,BGS,9.5,Vaulted
Active,INELLIGIBLE ITEM - PLEASE SHIP HOME | 2025 Topps Diamond Icon No. DIA-VGJ Vladimir Guerrero Jr. - Toronto Blue Jays 42019720457794001081 VIH - - - - - - - - - - - - - - - Unvaulted - - - - - - - - - -,,,-,Unvaulted
Active,2022 PANINI NATIONAL TREASURES TREASURED THREADS #GAC SHAI GILGEOUS-ALEXANDER 83/99,120000000,PSA,Authentic,Unvaulted
Active,2002 POKEMON JAPANESE McDONALD'S PSYCHIC ENERGY-HOLO,85283693,PSA,9,Unvaulted
Active,"INELLIGIBLE ITEMA - PLEASE SHIP HOME | 5x Panini assorted NFL cards, 2022 Panini Immaculate Collection football No. ISP-JCO James Cook - Buffalo Bills",vih00000042986,VIH,-,Returning
Active,2024 PANINI INSTANT JANNIK SINNER #JS3 JANNIK SINNER,127000000,PSA,10,Unvaulted
Active,2019 PANINI CHRONICLES CONTENDERS SEASON TICKET AUTOGRAPHS #17 VLADIMIR GUERRERO JR. RED 16/50,64307739,PSA,7,Unvaulted
Active,2020-21 Panini Select #SS-SGA Shai Gilgeous-Alexander Selective Swatches Tie Dye Prizm,5820796,SGC,9,Vaulted
Active,2025 PANINI NATIONAL SPORTS COLLECTORS CONVENTION VIP GOLD #1 CAITLIN CLARK PANINI,128000000,PSA,10,Vaulted
Active,2024-25 BOWMAN U NOW #1 COOPER FLAGG,101000000,PSA,9,Vaulted
Active,2003-04 Upper Deck #8 LeBron James Phenomenal Beginning,4913687,SGC,9.5,Vaulted
Active,2018 PANINI CONTENDERS DRAFT PICKS #126 LUKA DONCIC AUTOGRAPH-DRAFT BLUE FOIL,106000000,PSA,9,Vaulted
Active,2025 TOPPS 1980-81 TOPPS BASKETBALL #80BK-96 VJ EDGECOMBE BLACK 5/10,136000000,PSA,6,Unvaulted
Active,"INELIGIBLE ITEMS- PLEASE SHIP HOME! | 3x raw Topps baseball cards- 2025 WILL RILEY, 2018 THOMAS PONTICELLI & NICK GORDON",VIH00000044124,VIH,-,Returning
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x raw basketball card- 2018-19 Panini Contenders SHAI GILGEOUS -ALEXANDER Playoff Ticket card with autograph,VIH00000044305,VIH,-,Returning
Active,2023 PANINI OBSIDIAN ROOKIE JERSEY INK #RJIBRO BIJAN ROBINSON ELECTRIC ETCH BLUE FINITE 1/1 1/1,95306757,PSA,8,Unvaulted
Active,2025 TOPPS ALL KINGS #AK-1 VICTOR WEMBANYAMA,137000000,PSA,8,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x raw NFL card-2018 Panini Donruss Optic JOSH ALLEN #154 rated Rookie,VIH00000044683,VIH,-,Returning
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000043302,VIH,-,Unvaulted
Active,"INELIGIBLE ITEMS- PLEASE SHIP HOME! | 4x raw basketball cards- 3x 2023-24 Panini Revolution RUI HACHIMURA, ANFERNEE SIMONS & KYLE KUZMA and 1x 2024-25 Panini Prizm Black TYLER HERRO",VIH00000042276,VIH,-,Unvaulted
Active,"INELIGIBLE ITEMS - PLEASE SHIP HOME | 6x Raw Cards: 2024-25 Panini Immaculate Shadowbox Signatures #SS-HAK Hakeem Olajuwon [#01/99], 2024-25 Panini Immaculate Heralded Signatures #HRS-RAY Ray Allen [#15/25], 2013-14 Panini Immaculate #166 Patch Autograph Karl Malone [#75/75], 2023-24 Pan",VIH00000042576,VIH,-,Unvaulted
Active,Ineligible Item - Please send home | 2X Raw Basketball Cards,VIH00000042119,VIH,-,Unvaulted
Active,VIH00000042258 | VIH00000042258,VIH00000042258,VIH,-,Unvaulted
Active,INELLIGIBLE ITEM - PLEASE SHIP HOME | 2025 Panini America Redemption Program card,VIH00000042756,VIH,-,Unvaulted
Active,Ineligible Item Please Send Home | 1x RAW 2025 Topps Chrome VJ Edgecombe,VIH00000042225,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: Redemotion Card - 2024-25 Panini Prizm Black Basketball Triple Autographs Mojo #9 Holmgren/Banchero/Sharpe,VIH00000043628,VIH,-,Unvaulted
Active,INELIGIBLE ITEMS - PLEASE SHIP HOME | 49x Raw Assorted Sports Cards,VIH00000042398,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - SEND HOME | Raw Card: 2025 Panini - The National Giannis Antetokounmpo #22,VIH00000043572,VIH,-,Unvaulted
Active,2022 PANINI NATIONAL TREASURES TREASURED THREADS #GAC SHAI GILGEOUS-ALEXANDER 83/99,120000000,PSA,Authentic,Unvaulted
Active,2002 POKEMON JAPANESE McDONALD'S PSYCHIC ENERGY-HOLO,85283693,PSA,9,Unvaulted
Active,INELLIGIBLE ITEM - PLEASE SHIP HOME | 2025 Topps Diamond Icon No. DIA-VGJ Vladimir Guerrero Jr. - Toronto Blue Jays 42019720457794001081 VIH - - - - - - - - - - - - - - - Unvaulted - - - - - - - - - -,,,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x raw football card- 2022 Panini Flawless Collegiate Autograph is guranteed by Panini America ROB GRONKOWSKI #CL-RGO Campus Legends 10/25,VIH00000042298,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x raw baseball card- 2024 Topps SHOHEI OHTANI 05/17 HR#20,VIH00000044682,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x raw basketball card- 2020-21 Panini Flawless #DP-JTT JAYSON TATUM worn material,VIH00000045329,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000043319,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x raw basketball card-2024 Topps COOPER FLAGG/ DYLAN HARPER #COT-COO McDonald's All American Games Combo Talents,VIH00000042747,VIH,-,Unvaulted
Active,Ineligible Item - Please send home | 16x Raw Basketball Cards,VIH00000043003,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000043303,VIH,-,Unvaulted
Active,INELIGIBLE ITEM | Unaccepted raw card from AG,VIH00000043119,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000043327,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND HOME | x1 2021 Topps Bowman Chrome Hyun-Il Choi No.CPA-HC Autographs,VIH00000041689,VIH,-,Unvaulted
Active,2023 PANINI SELECT #251 LUKA DONCIC GOLD PRIZM 8/10,103000000,PSA,9,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000043323,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000043285,VIH,-,Unvaulted
Active,PLEASE SEND HOME - UNACCEPTED ITEM | 1x Raw Card 2024-2025 Panini Flawless Victor Wembanyama,VIH00000045676,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042863,VIH,-,Unvaulted
Active,INELIGIBLE ITEMS - PLEASE SHIP HOME | 9x Raw Assorted Sports Cards,VIH00000043184,VIH,-,Unvaulted
Active,INELLIGIBLE ITEM - PLEASE SHIP HOME | 2023 Panini - Gold Standard Football  No. 17 Josh Allen - Bills,VIH00000043061,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x cased slab baseball card without a brand seal- 2025 Panini The National VIP #43 AARON JUDGE (#35 hand written on back of slab in permanent marker),VIH00000042256,VIH,-,Unvaulted
Active,Ineligible Item Please Send Home | 1x Raw 2023 Panini One Football Terry Mclaurin #46/49,VIH00000042418,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x raw basketball card- Topps Utah AZZ All Kings ACE BAILEY King of Clubs,VIH00000043099,VIH,-,Unvaulted
Active,INELLIGIBLE ITEM - PLEASE SHIP HOME | 2025 Panini - The National No. 43 Aaron Judge - New York,VIH00000042187,VIH,-,Unvaulted
Active,INELLIGIBLE ITEM - PLEASE SHIP HOME | 2024 Panini Illisions Football No. 15 Ja'Marr Chase - Bengals,VIH00000042758,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: 2025 Panini Prizm VIP Rookie Card #RC18 VJ Edgecombe,VIH00000042328,VIH,-,Unvaulted
Active,INELIGIBLE ITEMS - PLEASE SHIP HOME | 1x raw basketball card- 2024 Panini #RC8 BRANDIN PODZIEMSKI & 1x cased slab without a branded seal 2023-24 Panini Phoenix TYRESE HALIBURTON #21,VIH00000042272,VIH,-,Unvaulted
Active,1 x Raw 2025 Topps MLB game used memorabilia - Angel Martinez #RAJR-AM | Ineligible,VIH00000043604,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: 2024 Topps Player-Worn Memorabilia #RJR-YY Yoshinobu Yamamoto Patch Card,VIH00000042168,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: 2025 Panini VIP #42 Paul Skenes 10/10 Autographed Card,VIH00000042307,VIH,-,Unvaulted
Active,Ineligible Item - Please send home | Raw Card: 2024 Leaf 20A-VG1 Vladimir Guerrero Autograph 10/10,VIH00000042035,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 2024/25 U Bowman Best #PAA-KK Kon Knueppel - Duke,VIH00000041830,VIH,-,Unvaulted
Active,Ineligible Item Please Send Home | 1x Raw 2010 Panini Kobe Bryant,VIH00000042402,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: 2024-25 Panini Prizm Black #SIG-HER Tyler Herro Red Prizm Autograph [#67/99],VIH00000043622,VIH,-,Unvaulted
Active,No. SS-AR2 Aaron Rodgers | 2021 Leaf Trading Cards Signature Series Sports,VIH00000043194,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: 2025 Panini The National #VE VJ Edgecombe [#12/25],VIH00000042556,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: 2024 Leaf Press Pass Premium Football FF-JD1 Jaxon Dart Autographed Magenta Printing Plate 1/1,VIH00000043616,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1 raw card- 2025 Topps Holiday Mega Baseball Player Autographs RONALD ACUNA JR. with autograph with- no brand seal,VIH00000042317,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x cased slab without brand seal- 2021-22 Panini National Treasures Basketball EVAN MOBLEY #RMD-EVM,VIH00000042972,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND HOME | x1 Raw 2022 Panini Chronicles Revolution Draft Picks No.3 Paolo Banchero,VIH00000042473,VIH,-,Unvaulted
Active,INELLIGIBLE ITEM - PLEASE SHIP HOME | 2025 Panini - The National No. 15 larry Bird - Boston Celtics,VIH00000043063,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x 2020-21 Panini National Treasures Treasured Signatures No. TS-LUD Luka Doncic 04/10 Autographed Raw Card,VIH00000044584,VIH,-,Unvaulted
Active,Ineligible Item - Please send home | Stefon Diggs Optic Contenders Raw Card,VIH00000043148,VIH,-,Unvaulted
Active,"Ineligible Item - Please Send Home | 2x Raw Cards: 2025 Bowman's Best University #LRRA-HH Hannah Hidalgo Let it Rain Auto (25/50), 2025 Bowman Masterpieces #BM-20 Hannah Hidalgo",VIH00000043237,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND HOME | x1 Raw Wild Card Card Stubs 7 Jaxson Dart No.7CSR-A 1/2,VIH00000042595,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x 2007 Upper Deck Black #3 Michael Jordan 86/99 Patch Raw Card,VIH00000044579,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: 2018 Leaf Swatch & Signature #PA-JC2 James Cook 1/1,VIH00000043667,VIH,-,Unvaulted
